epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,10236.9,0.62583,2.77665,0.23893,0.38481,1.06977,0.97367,0.98088,0.99143,0.89514,0.86953,0.8328,0.85278,0.70803,0.53265,1.86002,0.04823,0.26923,0.96518,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,10602,0.62211,2.74024,0.23722,0.38176,1.07336,0.97494,0.98114,0.99155,0.89696,0.87663,0.83433,0.85519,0.71225,0.53097,1.83815,0.0491,0.26603,0.96355,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,10964.8,0.61839,2.69468,0.23396,0.38117,1.06765,0.97386,0.98203,0.99124,0.89957,0.87587,0.83369,0.85797,0.72011,0.52677,1.83224,0.04798,0.26494,0.96144,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,11339.5,0.61109,2.6434,0.23283,0.37235,1.06517,0.9776,0.98076,0.99158,0.90071,0.88182,0.83968,0.86443,0.72356,0.52434,1.79487,0.04701,0.26157,0.96004,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,11715.5,0.60789,2.60454,0.22771,0.36927,1.0624,0.97554,0.98079,0.99151,0.90164,0.87674,0.84032,0.86467,0.72761,0.52178,1.79197,0.04613,0.26076,0.95742,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,12717.1,0.6018,2.54559,0.2271,0.36752,1.06094,0.97676,0.97082,0.98514,0.89376,0.8774,0.83025,0.85608,0.71923,0.51673,1.76905,0.04464,0.25847,0.95379,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,14504.2,0.59545,2.52411,0.22524,0.36124,1.05703,0.97724,0.98037,0.99168,0.90217,0.88455,0.84064,0.86599,0.72965,0.51446,1.74153,0.04386,0.25702,0.95243,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,16622.9,0.59054,2.46317,0.22444,0.3584,1.05545,0.97716,0.96534,0.98012,0.89102,0.887,0.83624,0.85775,0.72375,0.51244,1.73888,0.04408,0.25546,0.95109,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,17435.8,0.58791,2.45815,0.22194,0.35458,1.05509,0.97702,0.98051,0.99176,0.90255,0.87915,0.83905,0.86174,0.7285,0.51063,1.75412,0.04339,0.25336,0.95004,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,18264.4,0.58307,2.42263,0.21924,0.35336,1.05156,0.97724,0.98063,0.99196,0.90376,0.88118,0.84021,0.86455,0.73254,0.50932,1.74474,0.04331,0.25256,0.94858,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,19316.1,0.47975,1.82801,0.0787,0.2587,0.99428,0.97499,0.97974,0.99086,0.90273,0.88436,0.84236,0.86818,0.73511,0.50814,1.70792,0.03766,0.2522,0.94563,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,20669.2,0.46598,1.76284,0.07215,0.2485,0.98427,0.9778,0.98217,0.99175,0.90714,0.88315,0.84988,0.87505,0.74443,0.50603,1.68157,0.03391,0.25065,0.94284,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,21012.4,0.45815,1.72565,0.07085,0.24461,0.98081,0.97835,0.98178,0.99175,0.90776,0.88537,0.85536,0.88011,0.74805,0.50373,1.66363,0.03199,0.24897,0.93999,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,21786.1,0.45224,1.68288,0.06964,0.24056,0.97672,0.97877,0.98116,0.9919,0.90837,0.88517,0.85661,0.88066,0.75016,0.50315,1.65507,0.03082,0.24801,0.93896,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,22726.5,0.44793,1.6458,0.068,0.23964,0.97428,0.97896,0.98127,0.9919,0.90845,0.88704,0.85829,0.88153,0.75186,0.50241,1.64403,0.03002,0.24846,0.93812,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,24005.6,0.44069,1.61381,0.06693,0.2353,0.96879,0.98013,0.98072,0.99185,0.90826,0.88747,0.85834,0.88121,0.75212,0.50153,1.63512,0.0294,0.24737,0.93766,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
47,24691.2,0.4389,1.61052,0.06777,0.23266,0.96884,0.9805,0.98044,0.99186,0.90886,0.88813,0.85918,0.88225,0.75398,0.50059,1.62627,0.02873,0.24654,0.93656,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
48,25054.4,0.43567,1.58041,0.06619,0.23037,0.96609,0.98063,0.98047,0.99188,0.90895,0.88908,0.85907,0.8829,0.75524,0.50052,1.62163,0.02834,0.24638,0.93599,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
49,25413.2,0.43413,1.57573,0.06627,0.23067,0.96592,0.98031,0.9805,0.9919,0.90913,0.88955,0.86111,0.88369,0.75608,0.50015,1.61573,0.02796,0.24623,0.93542,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
50,26612.8,0.43119,1.57242,0.06521,0.22885,0.95991,0.98013,0.98078,0.99193,0.90943,0.89035,0.86224,0.88429,0.75636,0.50009,1.61146,0.02766,0.2457,0.93507,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
